Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,85.37560701,86.0691905,84.52759385,78.97008657,76.82497501,78.16998959,75.40338635,72.77924418,78.99665236,73.25516939,74.48620796,72.04786539,73.05592299,78.38229537,75.97433329,75.48257709
Angola,AGO,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,27.3046881,45.09108663,49.6620506,48.51068854,46.89109921,42.33265519,30.66570163,28.38397026,21.65323794,15.50890505,19.34375614,17.99380928,17.6191777,21.34927809,26.87616646,33.52316618,35.20893157,34.12101269
Albania,ALB,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,,,,,,,,,,,,,,,,
Andorra,AND,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,47.89478779,47.42711186,48.11569154,51.06642842,52.92778611,50.49583316,50.92135072,50.7032454,48.41379523,46.6113627,45.43219209,44.39961314,43.88948977,43.27659011,42.80395806,42.3558265,41.79089069,41.77705348
Arab World,ARB,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,37.63288688,35.72824495,36.2744104,35.53823602,35.34471109,34.93731516,34.07795287,34.62103309,34.59635015,31.35390042,33.04974003,30.83879859,31.49891481,30.69662781,28.96822339,31.4442055,32.06310482,38.30930147
United Arab Emirates,ARE,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,22.08343446,15.08593261,28.04150879,27.45693028,30.40837944,30.13918996,29.70960736,28.87625098,25.13651848,16.10036939,17.9457441,16.88403785,16.73880368,17.1557948,17.8078264,17.78964996,19.15773898,18.86744052
Argentina,ARG,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,29.10433114,29.47439849,29.99389768,28.24989259,27.62963176,33.06791484,31.60444498,29.26903069,25.6215632,22.53738791,19.70937252,17.99764931,14.11185265,14.4944191,14.55834955,13.78933191,15.98309577,15.01852721
Armenia,ARM,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,62.01095581,50.87960362,75.23449659,76.42555237,71.58870697,62.93591857,61.17357016,58.22918415,71.43701315,73.63292575,77.62413025,78.41966748,78.58729959,82.87557364,82.4813664,81.62987828,80.64687848,84.34807658
American Samoa,ASM,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,23.28415066,23.41709882,22.15957195,22.31545597,23.65834862,27.2046566,30.08434474,30.74154556,30.54154217,24.08895791,25.50686002,26.38317049,28.11950445,26.9559741,27.76048183,25.98371208,31.72703683,34.98488665
Australia,AUS,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,20.99708021,20.43881565,19.9200809,19.14785355,19.21848506,19.64298338,19.74958777,19.00250018,19.04173046,19.0527007,19.74927187,19.17252541,19.9342072,19.7154209,19.55827028,18.94660145,18.33779067,18.15210283
Austria,AUT,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,17.82221943,18.46295744,18.61328632,18.8883692,19.30190474,19.1832602,18.80627722,18.80613863,18.24393272,18.05128604,18.60162616,18.73956323,18.67409199,19.17125136,19.09817606,19.09111291,19.30112839,19.2032665
Azerbaijan,AZE,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,75.89384317,77.20313072,79.10906672,85.37729383,87.01108098,87.09971309,83.96854997,79.27516699,77.44327188,77.03319192,77.3955524,77.59210467,75.57213306,77.86141038,78.10548544,79.44632769,81.57103062,83.85614157
Burundi,BDI,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,41.78693295,40.30458927,41.20006859,41.96569622,35.56011915,35.17008722,34.81430709,35.70703566,35.95796824,31.6275537,28.20030749,25.47524273,22.69366384,21.08439505,29.92245257,30.82937002,25.21666884,25.4629761
Belgium,BEL,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,20.22722811,19.58826482,20.87109536,20.61561644,18.67632717,17.93370098,18.66180748,19.21070814,18.43404472,18.16453636,18.17270666,18.17521751,17.73408204,18.03226322,17.49034077,17.53991246,17.86475033,17.63822287
Benin,BEN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,52.49866247,50.05998015,52.73424983,53.06716561,51.11038089,51.07798576,50.54692626,49.04190898,47.35903144,46.06668353,45.06617188,43.67434382,37.40644753,42.31209159,44.01254356,40.49658775,43.48329008,44.97992694
Burkina Faso,BFA,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,42.16008186,42.72938371,38.27582896,33.38692784,30.43884039,30.71225584,30.85259795,27.39347219,30.95701039,31.44069016,30.168733,32.88170099,32.38356709,33.53733122,34.07847583,36.02980077,31.38309419,31.67759478
Bangladesh,BGD,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,61.09532118,65.1401639,62.29358912,62.38762736,62.50523925,64.85486031,65.07526636,65.81632495,67.16353893,67.23670363,67.2104001,67.37222672,67.46909618,68.51466298,69.93145943,71.81633711,73.12600613,73.88473749
Bulgaria,BGR,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,40.37570059,43.706128,39.79439437,38.06082904,39.20325935,38.867414,42.64740646,42.59270132,42.6291883,44.36734319,43.14134419,44.46372688,47.74680734,47.10148871,45.8127737,47.66826928,47.95404673,46.55256867
Bahrain,BHR,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,25.79220533,25.35382807,25.72260797,31.49310052,30.90074658,28.1925261,27.09490955,30.15912473,27.22068429,28.34785581,28.4604609,28.43585014,26.80392265,26.90460384,26.17599964,25.84038675,27.98785865,30.55217564
"Bahamas, The",BHS,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,21.18026316,20.97321749,22.78324515,24.84439909,26.29864216,29.51084077,27.56047845,29.81061041,28.86936665,27.84377933,28.42274606,28.40172052,28.68724763,28.58025432,30.05292416,26.86096132,27.68524587,30.98246753
