Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,0.891423784,7.280444354,5.535271764,5.319347978,4.686538503,5.653366446,6.120996922,5.417367071,5.47462441,5.606225133,4.341894761,5.034761876,4.960257933,5.172239617,5.077845231,5.095818639
Angola,AGO,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,58.20956826,45.64084411,39.30446208,41.3079977,42.51447618,44.83417273,53.77399325,57.89378881,64.35443163,67.67429113,62.11627722,64.757061,65.25455117,62.02979684,54.15326357,47.36523032,44.13827062,46.27865255
Albania,ALB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
Andorra,AND,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,41.56835973,42.13892221,41.29885435,37.69895732,35.4281038,38.39508295,37.87595034,38.14204037,40.93517065,43.13413799,44.57272589,45.83247304,46.45482302,47.20256031,47.77916968,48.3258903,49.01511073,49.03199375
Arab World,ARB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,54.93107594,57.17948815,56.37600751,56.86665894,56.65600238,57.31002231,58.51216974,57.87541085,57.64614877,60.81451216,58.21945576,60.27621489,59.36557544,59.92815589,61.53160395,58.35264843,57.5031615,54.95341081
United Arab Emirates,ARE,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,68.83046031,77.0103991,61.22885346,61.27508283,57.10731149,56.8410635,57.30421543,58.67370367,63.91038895,73.68283272,70.85415721,72.42097259,72.54478931,71.97173834,70.97638249,71.25105262,71.5980351,71.97389603
Argentina,ARG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,54.7317028,54.85204458,54.55613732,54.71241474,51.79897547,51.41876936,53.22989821,55.90403676,58.76477957,62.92489171,64.64551091,67.66082048,72.54151702,74.3060708,76.61811113,77.65114307,74.11042452,72.43211865
Armenia,ARM,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,22.75321782,28.82457376,15.39143771,16.80312753,21.37230784,25.22076368,27.11775005,29.35340106,22.41244018,21.45592868,18.2589978,17.84222126,17.27693081,13.32556456,14.79110718,15.91488123,16.4524734,13.24466914
American Samoa,ASM,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
