Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,9.443390369,8.94125849,9.808473289,9.948289394,10.62276587,9.904674441,10.25649533,9.818487614,8.569671214,8.561906964,7.897175848,8.8059403,9.528870136,10.10534763,10.96198335,11.77719384
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,1.908599399,4.483516142,3.32946144,3.547973186,3.967200965,2.852196991,2.68553663,2.97438819,3.32290493,3.842608631,2.695100009,2.645608038,2.395749651,2.732827701,2.434128523,2.605794929,2.713149041,2.791500278
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.348101169,9.363031387,9.119281173,8.463995904,8.210543543,8.565982431,8.434281498,8.428402245,8.792541921,9.026736766,9.449671209,9.765893966,10.04694104,10.11211351,10.27647853,10.25271267,10.32410711,10.32055244
Arab World,ARB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.998751254,4.301737542,4.28663868,4.132354217,3.800804542,3.488667827,3.484758186,3.572454484,3.404673783,4.461386339,3.987995507,3.94385328,4.020577232,4.243565168,4.553889831,5.120870727,5.022436207,4.910970686
United Arab Emirates,ARE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.37413533,2.484370582,2.71770861,2.646343969,2.462043427,2.320196852,2.325413749,2.565696277,2.928477712,4.049993306,3.878745064,3.670072928,3.425204381,3.592995182,3.630209342,3.583594412,3.403416276,3.334282339
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.466964215,8.620967716,7.64670223,7.112254202,7.228682935,7.61083886,7.550247759,7.611107081,7.672165334,9.010462463,8.613662422,8.396562934,8.457037807,8.371347189,8.258233219,8.788504452,7.544399053,9.124314785
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.195803404,4.645626992,7.613598555,7.179374993,6.055085361,5.861882865,5.850071087,5.498145521,6.639762223,8.443779498,9.235391021,9.375878423,9.134551883,10.3234455,10.17827019,10.11763364,9.951966256,10.36270484
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.48070094,5.280303955,5.42647168,5.812173337,5.257927254,4.970749468,4.669224098,4.708246514,4.393102229,4.397944734,5.187096819,5.296015739,5.191060528,5.417091027,5.252455175,4.701753706,4.357296228,4.533531889
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.613872737,7.696311921,7.893258333,7.904408127,8.109592646,7.990119606,7.989377528,8.067583293,8.255802095,8.563221991,8.4308438,8.54151994,8.675699681,8.758559823,9.038034081,9.314739704,9.196083993,9.205947816
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.203714132,9.269428998,9.3947649,9.547239542,9.709398448,9.6270293,9.531132877,9.532096982,9.72564593,10.22582501,10.22101864,10.02613306,10.19915566,10.28574929,10.36809236,10.36778986,10.41916981,10.39661691
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.893683106,3.670459241,3.684860095,5.94567433,7.194782048,7.435253263,5.761354044,4.663742706,4.052345082,5.202309042,4.767755046,4.508152604,4.9017746,5.054136738,5.467744172,6.713952124,6.663134694,6.651829183
Burundi,BDI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.176971644,6.404843926,6.472160667,6.313277036,7.701041549,8.42371285,9.942322969,10.5808191,9.235422313,10.35021842,11.2763755,10.06997749,8.526684344,8.142555505,6.889276952,6.578569114,7.492160797,7.517570257
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.942003757,8.105319738,8.263498545,9.105971456,9.125046432,9.006975591,8.912083507,8.948877454,9.336792678,10.13503894,9.974732995,10.13665572,10.26577801,10.36965922,10.41449532,10.28013229,10.30445471,10.33866927
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.230008274,4.425380379,4.153232276,4.147832468,4.199448973,4.012716189,4.059544951,3.951973468,3.683454171,3.85674797,4.089805111,4.221983254,4.666440561,3.906704485,3.645506501,3.991819546,3.855612502,3.718582168
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.317523748,3.248984367,3.340583295,3.536241874,4.744660482,4.44255583,5.091514066,5.886371061,5.227387324,5.715266615,5.89295961,5.229732767,5.17796874,6.25648573,5.624916032,5.825300515,7.013124228,6.915059686
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.001946792,1.986744627,2.151901275,2.19150465,2.214049362,2.275463566,2.322012186,2.387692034,2.345957048,2.403383143,2.49591507,2.565937489,2.57301107,2.503347583,2.496011183,2.463114634,2.311779931,2.274248749
Bulgaria,BGR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.870852619,6.912165135,7.1359694,7.255560905,6.943981349,6.944200397,6.573179364,6.159476191,6.29068315,6.613452733,7.105814666,7.1348086,7.594393939,7.868226618,8.498755842,8.202731609,8.230107278,8.095603436
